Countries,year,rates
Australia,2008,5.5
Austria,2008,4.2
Belgium,2008,4.3
Czech Republic,2008,5.1
Denmark,2008,6.8
Estonia,2008,4.6
Finland,2008,5.8
France,2008,4.1
Germany,2008,4.6
Greece,2008,4.8
Hungary,2008,4
Ireland,2008,4.9
Italy,2008,4.2
Japan,2008,5.8
Korea,2008,6.6
Latvia,2008,5.9
Lithuania,2008,7.5
Luxembourg,2008,3.9
Mexico,2008,5.3
Netherlands,2008,4.5
New Zealand,2008,5.2
Norway,2008,5.3
Poland,2008,6.8
Portugal,2008,4.1
Slovak Republic,2008,5.3
Slovenia,2008,3.3
Spain,2008,4.2
Sweden,2008,5.5
Switzerland,2008,5.4
Turkey,2008,9
United States,2008,7.1
Costa Rica,2008,5.7
Bulgaria,2008,3.7
Croatia,2008,5.4
Cyprus,2008,7.8
Malta,2008,6.1
Romania,2008,7.3
Australia,2009,5.5
Austria,2009,4.3
Belgium,2009,4
Czech Republic,2009,4.6
Denmark,2009,6
Estonia,2009,4
Finland,2009,5.6
France,2009,3.9
Germany,2009,4.6
Greece,2009,5.3
Hungary,2009,3.7
Ireland,2009,4.8
Italy,2009,3.9
Japan,2009,5.6
Korea,2009,6.2
Latvia,2009,4.6
Lithuania,2009,6.5
Luxembourg,2009,3.5
Mexico,2009,5
Netherlands,2009,4.4
New Zealand,2009,5.1
Norway,2009,5
Poland,2009,6.6
Portugal,2009,3.8
Slovak Republic,2009,4.9
Slovenia,2009,3.2
Spain,2009,3.7
Sweden,2009,5.1
Switzerland,2009,5.4
Turkey,2009,8.2
United States,2009,6.8
Costa Rica,2009,5.4
Bulgaria,2009,3.5
Croatia,2009,5.2
Cyprus,2009,7.8
Malta,2009,5.7
Romania,2009,6.6
Australia,2010,5.4
Austria,2010,4.5
Belgium,2010,3.9
Czech Republic,2010,4.5
Denmark,2010,5.6
Estonia,2010,3.8
Finland,2010,5.6
France,2010,3.9
Germany,2010,4.7
Greece,2010,5.1
Hungary,2010,3.6
Ireland,2010,4.5
Italy,2010,3.7
Japan,2010,5.5
Korea,2010,6.5
Latvia,2010,4.4
Lithuania,2010,6
Luxembourg,2010,3.5
Mexico,2010,5
Netherlands,2010,4.5
New Zealand,2010,4.9
Norway,2010,4.8
