Date,Month,count,year
1,January,57,2018
2,January,87,2018
3,January,123,2018
4,January,155,2018
5,January,328,2018
6,January,898,2018
7,January,185,2018
8,January,137,2018
9,January,137,2018
10,January,105,2018
11,January,126,2018
12,January,306,2018
13,January,825,2018
14,January,199,2018
15,January,114,2018
16,January,85,2018
17,January,87,2018
18,January,199,2018
19,January,268,2018
20,January,998,2018
21,January,210,2018
22,January,113,2018
23,January,67,2018
24,January,98,2018
25,January,239,2018
26,January,211,2018
27,January,767,2018
28,January,203,2018
29,January,93,2018
30,January,61,2018
31,January,60,2018
1,February,75,2018
2,February,310,2018
3,February,978,2018
4,February,235,2018
5,February,73,2018
6,February,65,2018
7,February,78,2018
8,February,138,2018
9,February,246,2018
10,February,1166,2018
11,February,208,2018
12,February,101,2018
13,February,79,2018
14,February,344,2018
15,February,105,2018
16,February,293,2018
17,February,1188,2018
18,February,328,2018
19,February,111,2018
20,February,88,2018
21,February,92,2018
22,February,137,2018
23,February,379,2018
24,February,1457,2018
25,February,280,2018
26,February,88,2018
27,February,65,2018
28,February,114,2018
1,March,165,2018
2,March,432,2018
3,March,1708,2018
4,March,337,2018
5,March,113,2018
6,March,83,2018
7,March,96,2018
8,March,171,2018
9,March,437,2018
10,March,1715,2018
11,March,423,2018
12,March,88,2018
13,March,87,2018
14,March,105,2018
15,March,149,2018
16,March,469,2018
17,March,1679,2018
18,March,355,2018
19,March,95,2018
20,March,82,2018
21,March,102,2018
22,March,163,2018
23,March,480,2018
24,March,1869,2018
25,March,309,2018
26,March,123,2018
27,March,99,2018
28,March,152,2018
29,March,266,2018
30,March,119,2018
31,March,813,2018
1,April,190,2018
2,April,77,2018
3,April,109,2018
4,April,132,2018
5,April,150,2018
6,April,524,2018
7,April,1774,2018
8,April,373,2018
9,April,90,2018
10,April,93,2018
11,April,84,2018
12,April,122,2018
13,April,282,2018
14,April,1704,2018
15,April,328,2018
16,April,126,2018
17,April,81,2018
18,April,149,2018
19,April,125,2018
20,April,473,2018
21,April,1605,2018
22,April,310,2018
23,April,129,2018
24,April,118,2018
25,April,72,2018
26,April,161,2018
27,April,392,2018
28,April,1461,2018
29,April,233,2018
30,April,98,2018
1,May,92,2018
2,May,64,2018
3,May,103,2018
4,May,393,2018
5,May,1417,2018
6,May,342,2018
7,May,62,2018
8,May,120,2018
9,May,75,2018
10,May,104,2018
11,May,293,2018
12,May,1086,2018
13,May,124,2018
14,May,97,2018
15,May,92,2018
16,May,86,2018
17,May,74,2018
18,May,374,2018
19,May,1011,2018
20,May,299,2018
21,May,97,2018
22,May,75,2018
23,May,74,2018
24,May,95,2018
25,May,220,2018
26,May,991,2018
27,May,195,2018
28,May,84,2018
29,May,82,2018
30,May,80,2018
31,May,68,2018
1,June,279,2018
2,June,766,2018
