state,year,born in different countries,both born in australia,both born in same overseas country,civil celebrants,first marriage both partners,first marriage one partner,ministers of religion,remarriage both partners,total marriage
ACT,2008,494,1051,129,1024,1151,304,650,219,1674
ACT,2009,458,998,106,978,1090,263,584,209,1562
ACT,2010,468,979,148,1027,1168,242,567,185,1595
ACT,2011,485,885,141,997,1092,255,507,164,1511
ACT,2012,500,926,176,1039,1172,233,558,197,1602
ACT,2013,466,850,144,981,1080,212,478,168,1460
ACT,2014,484,876,159,1113,1102,241,408,180,1523
ACT,2015,456,766,168,1002,1029,207,375,153,1385
ACT,2016,393,625,160,909,860,202,264,115,1175
ACT,2017,515,944,214,1282,1212,285,391,181,1674
ACT,2018,513,873,181,1303,1096,271,262,194,1562
NSW,2008,11879,21612,5583,23613,27999,6429,15470,4709,39137
NSW,2009,12188,21992,6324,25419,29345,6553,15077,4618,40516
NSW,2010,12852,21337,6161,26232,29345,6584,14106,4442,40371
NSW,2011,13357,21913,6427,27529,30214,6950,14186,4556,41720
NSW,2012,12905,21743,6312,27799,29739,6687,13180,4555,40981
NSW,2013,12629,21327,6400,27589,29331,6612,12771,4430,40373
NSW,2014,12869,21710,6661,28984,30179,6587,12287,4509,41277
NSW,2015,12394,21097,6518,28398,29256,6427,11607,4320,40008
NSW,2016,12188,20528,6535,28391,28728,6142,10864,4389,39262
NSW,2017,11550,18743,6536,27619,26884,5788,9211,4161,36832
NSW,2018,12764,21036,6774,30788,29923,6421,9789,4233,40583
NT,2008,302,610,43,735,621,192,220,142,955
NT,2009,294,577,48,679,605,200,239,114,919
NT,2010,329,559,65,744,635,174,210,145,954
NT,2011,314,517,77,716,595,197,192,116,908
NT,2012,335,500,71,743,622,184,163,100,906
NT,2013,343,463,85,723,610,167,168,114,891
NT,2014,338,415,75,672,541,185,141,98,820
NT,2015,351,408,66,692,544,165,142,113,827
NT,2016,338,370,91,687,519,174,109,102,789
NT,2017,317,378,72,666,500,150,103,114,769
NT,2018,313,397,86,678,535,163,115,92,795
QLD,2008,7850,17059,1881,19044,17801,4830,7753,4172,26803
QLD,2009,7783,16551,2006,18987,17817,4697,7351,3828,26342
QLD,2010,8022,16383,2116,19855,18238,4665,6652,3627,26530
QLD,2011,7808,15716,2034,19240,17631,4515,6312,3414,25560
QLD,2012,7964,16150,2159,20117,18200,4502,6155,3568,26276
QLD,2013,7780,15067,2164,19489,17392,4288,5516,3335,25015
QLD,2014,7603,15044,2271,19612,17565,4176,5296,3180,24918
QLD,2015,7380,13999,2124,18708,16346,3995,4797,3167,23504
QLD,2016,7160,13607,2105,18496,15773,3943,4367,3169,22878
QLD,2017,7036,13247,2059,18137,15471,3759,4204,3103,22341
QLD,2018,7296,14253,2088,19791,16231,4166,3856,3248,23641
SA,2008,2033,5522,491,5047,5505,1328,2999,1213,8046
SA,2009,2104,5548,556,5325,5696,1377,2883,1135,8208
SA,2010,2143,5526,654,5591,5811,1338,2732,1174,8323
SA,2011,2147,5317,651,5616,5685,1374,2499,1056,8115
SA,2012,1977,5060,660,5407,5351,1308,2290,1038,7697
SA,2013,2117,5526,708,5889,5987,1351,2464,1015,8353
SA,2014,2169,5113,691,5872,5629,1332,2108,1011,7973
SA,2015,1949,4517,660,5327,5047,1122,1798,956,7122
SA,2016,2166,5519,660,6301,5997,1286,2048,1072,8347
SA,2017,1953,4628,691,5654,5236,1152,1616,888,7265
SA,2018,2027,5057,652,6109,5581,1264,1631,900,7741
TAS,2008,509,2124,51,1892,1735,464,793,486,2685
TAS,2009,529,2039,66,1892,1675,494,744,468,2637
TAS,2010,520,1995,62,1876,1701,444,691,432,2577
TAS,2011,453,1827,49,1735,1600,360,594,369,2329
TAS,2012,567,2252,93,2175,2028,454,738,431,2913
TAS,2013,482,1856,62,1802,1644,399,598,357,2400
TAS,2014,473,1979,72,1932,1837,368,596,319,2526
TAS,2015,461,1836,59,1878,1611,412,479,345,2356
TAS,2016,504,1928,70,2023,1709,407,479,393,2508
TAS,2017,469,1691,82,1872,1500,361,367,377,2240
TAS,2018,488,1893,110,2123,1698,418,372,381,2497
VIC,2008,7852,16031,3198,17256,19596,4329,9826,3164,27089
VIC,2009,8011,15821,3902,18421,20205,4401,9319,3144,27750
VIC,2010,8508,15553,4074,19242,20613,4494,8866,3035,28142
VIC,2011,8805,15567,4567,20109,21212,4600,8787,3132,28944
VIC,2012,9248,16158,4483,21453,22276,4550,8427,3075,29901
VIC,2013,8426,14565,4560,19923,20861,4170,7627,2553,27584
VIC,2014,9023,14841,4553,21245,21351,4466,7592,3057,28872
VIC,2015,8010,13115,4490,19059,18775,4115,6514,2731,25620
VIC,2016,9538,16408,5167,23683,23141,4763,7404,3214,31119
VIC,2017,9456,15489,5169,23281,22310,4546,6852,3280,30129
VIC,2018,9449,15501,5196,24053,22242,4802,6095,3108,30152
WA,2008,4710,6512,1084,8531,8439,2093,3834,1835,12367
WA,2009,4818,6117,1202,8639,8347,2122,3543,1715,12184
WA,2010,5083,6256,1305,9233,8819,2187,3427,1678,12684
WA,2011,5118,6140,1375,9369,8833,2165,3295,1667,12665
WA,2012,5191,6259,1484,9866,9155,2173,3102,1640,12968
WA,2013,5309,5949,1604,9908,9170,2139,2978,1577,12886
WA,2014,5446,6104,1703,10439,9610,2085,2847,1590,13287
WA,2015,5238,5830,1679,10060,9117,2098,2700,1555,12766
WA,2016,5084,5558,1654,9954,8833,2002,2359,1476,12317
WA,2017,4915,5213,1571,9563,8405,1932,2146,1370,11707
WA,2018,5206,5346,1633,10161,8650,2076,2060,1490,12219
