Age Range,year,count,Gender
16–19,2008,2020,female
20–24,2008,22890,female
25–29,2008,37819,female
30–34,2008,19437,female
35–39,2008,7589,female
40–44,2008,2368,female
45–49,2008,1047,female
50–54,2008,405,female
55–59,2008,150,female
60–64,2008,60,female
65–69,2008,22,female
70–74,2008,4,female
75 and over,2008,4,female
16–19,2009,2130,female
20–24,2009,23132,female
25–29,2009,38660,female
30–34,2009,19869,female
35–39,2009,7800,female
40–44,2009,2524,female
45–49,2009,1084,female
50–54,2009,418,female
55–59,2009,155,female
60–64,2009,64,female
65–69,2009,22,female
70–74,2009,8,female
75 and over,2009,5,female
16–19,2010,2051,female
20–24,2010,22477,female
25–29,2010,39850,female
30–34,2010,20725,female
35–39,2010,7826,female
40–44,2010,2596,female
45–49,2010,1142,female
50–54,2010,489,female
55–59,2010,177,female
60–64,2010,60,female
65–69,2010,34,female
70–74,2010,7,female
75 and over,2010,9,female
16–19,2011,2074,female
20–24,2011,21856,female
25–29,2011,40355,female
30–34,2011,21101,female
35–39,2011,7784,female
40–44,2011,2862,female
45–49,2011,1207,female
50–54,2011,529,female
55–59,2011,180,female
60–64,2011,82,female
65–69,2011,27,female
70–74,2011,5,female
75 and over,2011,11,female
16–19,2012,1907,female
20–24,2012,21208,female
25–29,2012,41082,female
30–34,2012,22112,female
35–39,2012,7925,female
40–44,2012,3068,female
45–49,2012,1306,female
50–54,2012,581,female
55–59,2012,250,female
60–64,2012,75,female
65–69,2012,27,female
70–74,2012,10,female
75 and over,2012,3,female
16–19,2013,1811,female
20–24,2013,20094,female
25–29,2013,39542,female
30–34,2013,21959,female
35–39,2013,7729,female
40–44,2013,3220,female
45–49,2013,1255,female
50–54,2013,663,female
55–59,2013,247,female
60–64,2013,95,female
65–69,2013,57,female
70–74,2013,12,female
75 and over,2013,12,female
16–19,2014,1621,female
20–24,2014,19934,female
25–29,2014,40812,female
30–34,2014,23045,female
35–39,2014,7692,female
40–44,2014,3151,female
45–49,2014,1273,female
50–54,2014,573,female
