Age Range,year,count,Gender
16–19,2008,5,female
20–24,2008,201,female
25–29,2008,1442,female
30–34,2008,3482,female
35–39,2008,4740,female
40–44,2008,4205,female
45–49,2008,4107,female
50–54,2008,3031,female
55–59,2008,1833,female
60–64,2008,979,female
65–69,2008,511,female
70–74,2008,252,female
75 and over,2008,153,female
16–19,2009,4,female
20–24,2009,193,female
25–29,2009,1476,female
30–34,2009,3319,female
35–39,2009,4599,female
40–44,2009,4087,female
45–49,2009,4027,female
50–54,2009,2901,female
55–59,2009,1728,female
60–64,2009,968,female
65–69,2009,482,female
70–74,2009,284,female
75 and over,2009,179,female
16–19,2010,3,female
20–24,2010,244,female
25–29,2010,1476,female
30–34,2010,3300,female
35–39,2010,4341,female
40–44,2010,4065,female
45–49,2010,3888,female
50–54,2010,2933,female
55–59,2010,1691,female
60–64,2010,957,female
65–69,2010,453,female
70–74,2010,217,female
75 and over,2010,162,female
16–19,2011,4,female
20–24,2011,383,female
25–29,2011,1719,female
30–34,2011,3144,female
35–39,2011,4023,female
40–44,2011,4092,female
45–49,2011,3792,female
50–54,2011,2971,female
55–59,2011,1671,female
60–64,2011,995,female
65–69,2011,465,female
70–74,2011,241,female
75 and over,2011,177,female
16–19,2012,0,female
20–24,2012,337,female
25–29,2012,1667,female
30–34,2012,3180,female
35–39,2012,3805,female
40–44,2012,4169,female
45–49,2012,3805,female
50–54,2012,3016,female
55–59,2012,1806,female
60–64,2012,943,female
65–69,2012,499,female
70–74,2012,273,female
75 and over,2012,174,female
16–19,2013,0,female
20–24,2013,355,female
25–29,2013,1767,female
30–34,2013,2992,female
35–39,2013,3343,female
40–44,2013,3798,female
45–49,2013,3546,female
50–54,2013,2785,female
55–59,2013,1808,female
60–64,2013,993,female
65–69,2013,527,female
70–74,2013,199,female
75 and over,2013,166,female
16–19,2014,0,female
20–24,2014,241,female
25–29,2014,1615,female
30–34,2014,3138,female
35–39,2014,3383,female
40–44,2014,3895,female
45–49,2014,3562,female
50–54,2014,3016,female
55–59,2014,1845,female
60–64,2014,1048,female
65–69,2014,566,female
70–74,2014,264,female
75 and over,2014,180,female
16–19,2015,3,female
20–24,2015,180,female
25–29,2015,1421,female
30–34,2015,2954,female
35–39,2015,3218,female
40–44,2015,3601,female
45–49,2015,3312,female
50–54,2015,2954,female
55–59,2015,1772,female
60–64,2015,979,female
65–69,2015,563,female
70–74,2015,308,female
75 and over,2015,176,female
16–19,2016,4,female
20–24,2016,182,female
25–29,2016,1348,female
30–34,2016,2966,female
35–39,2016,3284,female
40–44,2016,3617,female
45–49,2016,3619,female
50–54,2016,3092,female
55–59,2016,1950,female
60–64,2016,1087,female
65–69,2016,631,female
70–74,2016,294,female
75 and over,2016,192,female
16–19,2017,0,female
20–24,2017,186,female
25–29,2017,1236,female
30–34,2017,2903,female
35–39,2017,3156,female
40–44,2017,3361,female
45–49,2017,3627,female
50–54,2017,2955,female
55–59,2017,1936,female
60–64,2017,1077,female
65–69,2017,622,female
70–74,2017,301,female
75 and over,2017,193,female
16–19,2018,0,female
20–24,2018,205,female
25–29,2018,1268,female
30–34,2018,2858,female
35–39,2018,3400,female
40–44,2018,3361,female
45–49,2018,3846,female
50–54,2018,3146,female
55–59,2018,2179,female
60–64,2018,1267,female
65–69,2018,722,female
70–74,2018,374,female
75 and over,2018,240,female
16–19,2008,5,male
20–24,2008,201,male
25–29,2008,1442,male
30–34,2008,3482,male
35–39,2008,4740,male
40–44,2008,4205,male
45–49,2008,4107,male
50–54,2008,3031,male
55–59,2008,1833,male
60–64,2008,979,male
65–69,2008,511,male
70–74,2008,252,male
75 and over,2008,153,male
16–19,2009,4,male
20–24,2009,193,male
25–29,2009,1476,male
30–34,2009,3319,male
35–39,2009,4599,male
40–44,2009,4087,male
45–49,2009,4027,male
50–54,2009,2901,male
55–59,2009,1728,male
60–64,2009,968,male
65–69,2009,482,male
70–74,2009,284,male
75 and over,2009,179,male
16–19,2010,3,male
20–24,2010,244,male
25–29,2010,1476,male
30–34,2010,3300,male
35–39,2010,4341,male
40–44,2010,4065,male
45–49,2010,3888,male
50–54,2010,2933,male
55–59,2010,1691,male
60–64,2010,957,male
65–69,2010,453,male
70–74,2010,217,male
75 and over,2010,162,male
16–19,2011,4,male
20–24,2011,383,male
25–29,2011,1719,male
30–34,2011,3144,male
35–39,2011,4023,male
40–44,2011,4092,male
45–49,2011,3792,male
50–54,2011,2971,male
55–59,2011,1671,male
60–64,2011,995,male
65–69,2011,465,male
70–74,2011,241,male
75 and over,2011,177,male
16–19,2012,0,male
20–24,2012,337,male
25–29,2012,1667,male
30–34,2012,3180,male
35–39,2012,3805,male
40–44,2012,4169,male
45–49,2012,3805,male
50–54,2012,3016,male
55–59,2012,1806,male
60–64,2012,943,male
65–69,2012,499,male
70–74,2012,273,male
75 and over,2012,174,male
16–19,2013,0,male
20–24,2013,355,male
25–29,2013,1767,male
30–34,2013,2992,male
35–39,2013,3343,male
40–44,2013,3798,male
45–49,2013,3546,male
50–54,2013,2785,male
55–59,2013,1808,male
60–64,2013,993,male
65–69,2013,527,male
70–74,2013,199,male
75 and over,2013,166,male
16–19,2014,0,male
20–24,2014,241,male
25–29,2014,1615,male
30–34,2014,3138,male
35–39,2014,3383,male
40–44,2014,3895,male
45–49,2014,3562,male
50–54,2014,3016,male
55–59,2014,1845,male
60–64,2014,1048,male
65–69,2014,566,male
70–74,2014,264,male
75 and over,2014,180,male
16–19,2015,3,male
20–24,2015,180,male
25–29,2015,1421,male
30–34,2015,2954,male
35–39,2015,3218,male
40–44,2015,3601,male
45–49,2015,3312,male
50–54,2015,2954,male
55–59,2015,1772,male
60–64,2015,979,male
65–69,2015,563,male
70–74,2015,308,male
75 and over,2015,176,male
16–19,2016,4,male
20–24,2016,182,male
25–29,2016,1348,male
30–34,2016,2966,male
35–39,2016,3284,male
40–44,2016,3617,male
45–49,2016,3619,male
50–54,2016,3092,male
55–59,2016,1950,male
60–64,2016,1087,male
65–69,2016,631,male
70–74,2016,294,male
75 and over,2016,192,male
16–19,2017,0,male
20–24,2017,186,male
25–29,2017,1236,male
30–34,2017,2903,male
35–39,2017,3156,male
40–44,2017,3361,male
45–49,2017,3627,male
50–54,2017,2955,male
55–59,2017,1936,male
60–64,2017,1077,male
65–69,2017,622,male
70–74,2017,301,male
75 and over,2017,193,male
16–19,2018,0,male
20–24,2018,205,male
25–29,2018,1268,male
30–34,2018,2858,male
35–39,2018,3400,male
40–44,2018,3361,male
45–49,2018,3846,male
50–54,2018,3146,male
55–59,2018,2179,male
60–64,2018,1267,male
65–69,2018,722,male
70–74,2018,374,male
75 and over,2018,240,male
